timestamp,frame_id,message,is_safe,num_detections,fps
1776139113.2275,1,Path clear,True,0,0.02
1776139113.2797,2,Path clear,True,0,19.18
1776139113.3301,3,Path clear,True,0,19.81
1776139113.3754,4,Path clear,True,0,22.1
1776139113.4236,5,Path clear,True,0,20.74
1776139113.4698,6,Path clear,True,0,21.67
1776139113.5144,7,Path clear,True,0,22.38
1776139113.5608,8,Path clear,True,0,21.59
1776139113.6042,9,Path clear,True,0,23.01
1776139113.6642,10,Airplane on your center — far,True,1,16.69
1776139113.7127,11,Path clear,True,0,20.6
1776139113.7595,12,Path clear,True,0,21.37
1776139113.8039,13,Path clear,True,0,22.54
1776139113.8563,14,Path clear,True,0,19.05
1776139113.9002,15,Path clear,True,0,22.81
1776139113.9458,16,Path clear,True,0,21.9
1776139113.9898,17,Bear on your center — close,True,1,22.76
1776139114.0337,18,Bear on your center — close,True,1,22.75
1776139114.0775,19,Path clear,True,0,22.85
1776139114.1246,20,Bear on your center — close,True,1,21.24
1776139114.171,21,Bear on your center — close,True,1,21.55
1776139114.216,22,Path clear,True,0,22.22
1776139114.2636,23,Bear approaching on your center — close,True,1,20.99
1776139114.3111,24,Bear approaching on your center — close,True,1,21.04
1776139114.355,25,Path clear,True,0,22.8
1776139114.4009,26,Path clear,True,0,21.76
1776139114.449,27,Path clear,True,0,20.81
1776139114.4959,28,Path clear,True,0,21.32
1776139114.5432,29,Path clear,True,0,21.16
1776139114.5878,30,Path clear,True,0,22.41
1776139114.6332,31,Path clear,True,0,22.03
1776139114.6819,32,Path clear,True,0,20.53
1776139114.7267,33,Path clear,True,0,22.3
1776139114.7703,34,Path clear,True,0,22.97
1776139114.8928,35,Path clear,True,0,8.16
1776139114.9374,36,Path clear,True,0,22.44
1776139114.982,37,Person on your center — medium ⚠ danger,False,1,22.44
1776139115.0279,38,Person on your center — medium ⚠ danger,False,1,21.75
1776139115.0723,39,Person on your center — medium ⚠ danger,False,1,22.53
1776139115.1187,40,Person on your center — medium ⚠ danger,False,1,21.55
1776139115.1668,41,Person on your center — medium ⚠ danger,False,1,20.8
1776139115.2141,42,Path clear,True,0,21.13
1776139115.2617,43,Person on your center — medium ⚠ danger,False,1,21.02
1776139115.3097,44,Person on your center — medium ⚠ danger,False,1,20.83
1776139115.3579,45,Path clear,True,0,20.75
1776139115.4032,46,Path clear,True,0,22.08
1776139115.4485,47,Path clear,True,0,22.08
1776139115.4963,48,Path clear,True,0,20.9
1776139115.542,49,Person on your center — medium ⚠ danger,False,1,21.88
1776139115.5877,50,Person on your right — medium ⚠ danger. Also: person center,False,2,21.89
1776139115.6346,51,Person on your center — medium ⚠ danger. Also: person right,False,2,21.31
1776139115.6794,52,Person on your center — medium ⚠ danger. Also: person right,False,2,22.32
1776139115.7264,53,Person on your center — medium ⚠ danger. Also: person right,False,2,21.3
